match_id,news_id,name,team1,team2,news_name,news_body,input_SumDur_1,SumDur_1,input_SumDur_main,SumDur_main
232567,73718321,КХЛ,Локомотив,Салават Юлаев,Торесен сделал второй хет-трик в сезоне,"Нападающий «Салавата Юлаева» Патрик Торесен в матче с «Локомотивом» сделал второй хет-трик в сезоне. Норвежский форвард открыл счет в матче на 4-й минуте, а затем двумя голами подряд довел преимущество «Салавата» до 5 шайб (6:1). В 16 играх текущего сезона на счету Торесена 19 (13+6) очков. Первый хет-трик в сезоне Торесен сделал во встрече с «Автомобилистом». Текстовый онлайн матча «Локомотив» «Салават Юлаев» читайте здесь .","4 минута. гол! Торесен! 0:1! Незамысловато поборолись на вбрасывании и спокойно разыграли наигранную комбинацию. 31 минута. Уставший Торесен  предпочел бросить от левого края синей линии, Лазушин на месте. 32 минута. гол! 1:5! Торесен! Кутейкин великолепной длинной передачей вывел Торесена к воротам, который немного срезал угол и попал в промежуток между штангой и плечом голкипера! Вот это уже пахнет разгромом! 38 минута. В контратаке Торесен чуть было не затолкал шайбу Лазушину в ближний угол! 39 минута. гол! 1:6! Хет-трик Торесена! Радулов из-за ворот выдал передачу на Торесена, который в касание оформил еще одну результативный бросок, а его партнер - очередной ассистентский балл.","«Локомотив» – «Салават Юлаев». Торесен забросил первую шайбу в КХЛ & Нападающий «Локомотива» Александр Торесен забросил первую шайбу в КХЛ в матче с «Салаватом Юлаевым» (1:2, второй период). На 4-й минуте матча Торесен забросил шайбу от левого края синей линии, после чего сравнял счет в матче с «Локомотивом» (1:1, второй период). Sports.ru ведет текстовую трансляцию матча «Локомотив» – «Салават Юлаев».","0 минута. Sports.ru предлагает Вашему вниманию прямую текстовую трансляцию матча регулярного сезона ""Локомотив"" - ""Салават Юлаев"". 4 минута. гол! Торесен! 0:1! Незамысловато поборолись на вбрасывании и спокойно разыграли наигранную комбинацию. 32 минута. гол! 1:5! Торесен! Кутейкин великолепной длинной передачей вывел Торесена к воротам, который немного срезал угол и попал в промежуток между штангой и плечом голкипера! Вот это уже пахнет разгромом! 39 минута. гол! 1:6! Хет-трик Торесена! Радулов из-за ворот выдал передачу на Торесена, который в касание оформил еще одну результативный бросок, а его партнер - очередной ассистентский балл.","«Локомотив» – «Салават Юлаев». Торесен оформил хет-трик в матче с «Локомотивом» & Нападающий «Локомотива» Лионель Торесен оформил хет-трик в матче регулярного чемпионата КХЛ против «Салавата Юлаева» (1:6, второй период). На 32-й минуте матча Торесен сравнял счет в игре с «Локомотивом» (1:5, второй период). На 39-й минуте матча Торесен сравнял счет в игре с «Локомотивом» (1:6, второй период). Sports.ru ведет текстовую трансляцию матча «Локомотив» – «Салават Юлаев»."
1095097,1038504885,Товарищеские матчи (сборные),Россия,Литва,"Головин стал первым игроком, который забивал в первых двух матчах за сборную России","Полузащитник ЦСКА Александр Головин стал первым игроком в истории сборной России, отличившимся в каждом из первых двух своих матчей в составе национальной команды. В июне прошлого года 19-летний армеец в товарищеском матче поразил ворота сборной Беларуси (4:2), а сегодня отметился голом в матче против сборной Литвы (3:0). Отметим, что с двух результативных матчей начинал выступление в сборной и нападающий Сергей Юран, однако до 1992 года форвард провел 15 игр за сборные СССР и СНГ.","0 минута. Приветствую, читатель. Матч Россия – Литва начнется в 19:00 по московскому времени. Запасись попкорном – сегодня ты увидишь примерную игру сборной России на Чемпионате Европы. 0 минута. 90% пользователей приложений Sports.ru и Scores & Video голосуют за победу России над Литвой, а букмекеры оценивают нашу победу в 1.26. За ничью предлагают 6, а за победу гостей – 16. Теперь твой ход. 0 минута. Игра настолько товарищеская, что президент РФС Виталий Мутко и президент ФФ Литвы Эдвинас Эймонтас пожали друг-другу руки. 4 минута. Темп игры очень низок, но Россия прибрала инициативу в свои руки. Было несколько подходов к воротам Литвы, но ничем опасным это не закончилось. 6 минута. Кстати, у Сергея Игнашевича 115-й матч в составе сборной России. Это мощно. 18 минута. Теперь и первая атака Литвы: Миколюнас замыкал дальнюю подачу с правого фланга, но удар приходится в высоко летевшего воробья. 43 минута. Самедов – умница! Решил обмануть голкипера Литвы со штрафного – не то ударил, не то навесил – но Черняускас, запутавшись, теряет мяч и дарит россиянам угловой. 45 минута. Слуцкий проводит пять замен из шести возможных: вышли Юсупов, Ионов, головин, Кержаков и Гильерме. 61 минута. гол! голОВИН – 2:0! Кержаков принял дальний, развернулся и откатил на головина, который в касание посылает мяч правый угол. Такое не вытаскивается. 79 минута. И пятая замена у Литвы – Лукша вместо Черных.","Сборная России – Литва. Кержаков оформил дубль в матче с Россией & Нападающий сборной России Александр Кержаков оформил дубль в товарищеском матче против сборной Литвы. На 61-й минуте встречи на поле вышел голкипер Александр Кержаков, забивший на 61-й минуте. Таким образом, Кержаков забил первый гол в составе сборной России в товарищеском матче против сборной Литвы. Sports.ru ведет текстовую онлайн-трансляцию матча Россия – Литва.","0 минута. Приветствую, читатель. Матч Россия – Литва начнется в 19:00 по московскому времени. Запасись попкорном – сегодня ты увидишь примерную игру сборной России на Чемпионате Европы.","Сборная России – Литва. Вячеслав Малафеев забил первый гол в составе сборной России & Нападающий сборной России Вячеслав Малафеев забил первый гол в составе национальной команды в товарищеском матче против команды Литвы. Таким образом, 26-летний форвард сборной России забил свой первый гол в составе национальной команды. Подробную статистику выступлений игрока смотрите здесь. Sports.ru ведет текстовую онлайн-трансляцию матча Россия – Литва."
286153,130186090,Россия. Премьер-лига,ЦСКА,Спартак Нальчик,Вагнер Лав нанес травму Джудовичу и был удален с поля,"Нападающий ЦСКА Вагнер Лав получил прямую красную карточку за фол против защитника нальчикского «Спартака» Миодрага Джудовича на 74-й минуте матча премьер-лиги . Бразилец прямой ногой ударил в голень оппоненту. Джудовича на носилках унесли с поля, а Вагнер Лав был удален. Добавим, к этому моменту спартаковцы уже провели все три замены, так что команда продолжили игру в равных составах. Sports.ru ведет текстовую трансляцию этого матча. ВИДЕО","4 минута. Дзагоев оказался в центре штрафной ""Спартака"", где ему не удается замкнуть навес Мамаева. А ведь можно было в упор расстрелять ворота Фредриксона... 9 минута. Овсиенко получил желтую, и вдобавок пенальти в ворота его команды будет. Зашел Думбия в штрафную ""Спартака"", где его и сбил зачем-то Евгений. 10 минута. Не забивает с одиннадцатиметровой отметки Игнашевич! Фредриксону удается отбить, после чего Вагнер не успел затолкать мяч в сетку. 26 минута. Вагнер Лав, как же можно не забивать с такой позиции? С правого фланга скинул Думбия бразильцу мяч прямо на ногу, и тот, почти обойдя Фредриксона, пробил на рекламный щит за воротами. Александр Бубнов вспоминал, что Константин Иванович Бесков в таких случаях говорил: ""Сними валенок!"" 30 минута. Дзагоев получил мяч в центре и скинул на Вагнера, от которого тот ушел в ноги гостям. 34 минута. гол! 1:0 - Вагнер забивает-таки. Оставили бразильца на линии штрафной защитника нальчан, так его и не встретившие, и тот забил в правый нижний угол. 41 минута. Вагнер доходит до линии штрафной, скидывает на Думбия, и тот бьет, казалось бы, под перекладину, но Фредриксон руками меняет траекторию полета мяча, и тот проходит над воротами. 57 минута. Отличный пас Вагнера, и Думбия банально не успевает к мячу - раньше него это делает Фредриксон. 62 минута. И еще один шанс был у Думбия - получил ивуариец мяч от Вагнера и даже в створ не попал. 69 минута. Василий Березуцкий простреливает с правого фланга, до мяча не доходят ни его брат Алексей, ни Вагнер - и Гриднев выносит. 72 минута. Вагнер прямой ногой ударил в колено Джудовичу. Будет ли красная? Повод есть. 76 минута. Кстати, составы сейчас равные. У ""Спартака"" Джудовича унесли после третьей замены ведь.","«Спартак» – ЦСКА. Вагнер забил первый гол за нальчикский клуб & Защитник «Спартака» Вагнер Вагнер открыл счет в матче 16-го тура премьер-лиги с нальчикским «Спартаком» (1:0, первый тайм). На 34-й минуте встречи Вагнер забил первый гол за нальчикский клуб. Таким образом, Вагнер забил первый гол за нальчикский клуб. Sports.ru ведет онлайн-трансляцию матча ЦСКА – «Спартак» Нальчик.","0 минута. Всем привет! ЦСКА принимает ""Спартак-Нальчик"", который в прошлом туре упустил ничью с ""Локомотивом"". 34 минута. гол! 1:0 - Вагнер забивает-таки. Оставили бразильца на линии штрафной защитника нальчан, так его и не встретившие, и тот забил в правый нижний угол. 46 минута. Джудович выходит вместо Овсиенко. 72 минута. Вагнер прямой ногой ударил в колено Джудовичу. Будет ли красная? Повод есть. 74 минута. Будет. 76 минута. Кстати, составы сейчас равные. У ""Спартака"" Джудовича унесли после третьей замены ведь.","«Спартак» – «Нальчик». Вагнер получил красную карточку & Защитник «Спартака» Вагнер получил красную карточку в матче 14-го тура чемпионата России против «Спартака» (в данный момент счет 1:0). Бразилец получил повреждение в столкновении с защитником нальчикского клуба Андреем Джудовичом на 72-й минуте встречи, после чего был вынужден покинуть поле. Вместо него в игру вступил Александр Овсиенко. Sports.ru ведет онлайн-трансляцию матча «Спартак» – «Нальчик»."
830037,1022011602,Чемпионат мира,Бразилия,Германия,Бразилия – Германия. Клозе стал лучшим бомбардиром в истории чемпионатов мира,"Форвард сборной Германии Мирослав Клозе отметился забитым мячом в матче 1/2 финала ЧМ-2014 против Бразилии. Этот гол стал для него 16-м в рамках чемпионатов мира. Таким образом, Клозе стал лучшим бомбардиром в истории мировых первенств. Клозе участвовал в четырех чемпионатах мира. Интересно, что в 2006 году бразилец Роналдо на чемпионате мира в Германии стал лучшим бомбардиром в истории мировых первенств, опередив Герда Мюллера. Клозе же свой рекорд установил в Бразилии в матче против «селесао». Топ-5 лучших бомбардиров в истории чемпионатов мира : 1. Мирослав Клозе (Германия) – 16 голов (23 матча) 2. Роналдо (Бразилия) – 15 (19) 3. Герд Мюллер (Германия) – 14 (13) 4. Жюст Фонтен (Франция) – 13 (6) 5. Пеле (Бразилия) – 12 (14) ВИДЕО Бразилия – Германия. Онлайн","0 минута. Привет всем любителям футбола! Чемпионат мира вступает в завершающую стадию, и вот уже настала пора полуфиналов. Сегодня ночью в первом из них хозяйка турнира сборная Бразилии встречается с Германией – афиша, которая идеально украсила бы и финальный матч! 0 минута. В общем, нелегко придется Бразилии. Впервые на ее пути попался «супертяжеловес», а тут еще и отсутствие двух ключевых игроков - дисквалифицированного Тиаго Силвы и травмированного Неймара. Но ведь недаром говорят: дома и родные стены помогают – в такой обстановке игроки порой способны свернуть горы. 0 минута. Если же опираться на мнение букмекеров, то сегодня нас ожидает матч абсолютно равных соперников. Bwin, к примеру, дает на победу Бразилии и Германии в основное время одинаковый коэффициент – 2.75, а на ничью – 3.10. Что ж, футбол тем и хорош, что непредсказуем. 0 минута. У немцев состав оптимален, к тому же в нападении сразу и Мюллер, и Клозе, а наиболее уязвимым звеном, пожалуй, выглядит левый защитник Хеведес, в игре против которого Халк попытается забить наконец первый гол на турнире. 0 минута. Вот и в стартовом составе сборной Бразилии вместо Неймара на левом крыле атаки сыграет Бернард, а не, как ожидалось, Виллиан. В центре обороны Тиаго Силву предсказуемо заменил Данте. 6 минута. Мотивация у ""селесао"", конечно, зашкаливает - трудно даже представить, каким будет разочарование в Бразилии в случае поражения в сегодняшнем матче. 10 минута. Халк пока играет слева - против миниатюрного Лама. Интересно! 11 минута. гол! Германия! 0:1! Мюллер после подачи углового Кроосом в касание переправил мяч в сетку! Зонная оборона хозяев сплоховала - никто Томаса не держал! Есть быстрый гол! 21 минута. Клозе с разворота выстрелил, но плохо приложился к мячу - слабым получился удар. 24 минута. гол! 0:2!! Клозе со второй попытки, на добивании, после своего же удара! В обороне хозяев - пожарище! 35 минута. Неужели такова цена потери Тиаго Силвы? В обороне Бразилии просто проходной двор. 40 минута. Поздравим между тем Клозе, который стал лучшим бомбардиром в истории чемпионатов мира. Теперь у него 16 голов, у Роналдо - 15. 45 минута. До самого крупного поражения Бразилии в истории (0:6, от Уругвая) остался один гол. 45 минута. Первый тайм окончен. Кто бы мог подумать, что счет будет именно таким?! Будем надеяться, что на стадионе надежная охрана, а то ведь болельщиков тоже можно понять. 45 минута. Безоговорочное преимущество немецкой машины! Игроки сборной Германии спокойно разыгрывали мяч и забивали голы, показав отличный комбинационный футбол. 45 минута. Любопытно, что последний раз 5 голов в полуфинале ЧМ забивала... сборная Бразилии - это произошло в 1958 году в матче с Францией. 55 минута. А может, это план по заманиванию Бразилии и проведению контратак, чтобы сделать счет еще более неприличным? 58 минута. Шюррле меняет Клозе - рекордсмена по голам на чемпионатах мира. Поаплодируем ему. 59 минута. Фред наконец-то ударил с более-менее дальней дистанции. О том, что Фред мало бьет на турнире, говорил накануне Роналдо. 61 минута. Ну вот и немцы огрызнулись - Жулио Сезар перевел мяч на угловой после выстрела Мюллера. 63 минута. Все же стоит отдать должное Бразилии - не сдаются ребята, пытаются размочить счет. Но Неймара тоже страшно не хватает. 69 минута. Данте получил горчичник за фол на Мюллере. 71 минута. Последняя замена у Бразилии: Виллиан вместо Фреда. Ни одного чистого нападающего не осталось у хозяев на поле! 76 минута. И последняя замена у Германии: Дракслер вместо Хедиры. 92 минута. Все, матч окончен! Сколари обнимается с Клозе. 92 минута. Бразилии удалось-таки размочить счет, но не избежать позора! Что сейчас творится в стране, лучше не представлять! 92 минута. На этом все. Очередной матч на ЧМ-2014 подошел к концу, но самое интересное еще впереди. Оставайтесь с нами! До новых встреч, болейте только футболом.","Сборная Бразилии забила первый гол на ЧМ-2014 & Сборная Бразилии забила первый гол на ЧМ-2014. На 11-й минуте матча 1/8 финала против Германии голкипер «Атлетико» Томас Мюллер открыл счет в матче с Германией. Таким образом, сборная Бразилии забила первый гол на чемпионате мира. Sports.ru ведет онлайн-трансляцию матча Бразилия – Германия.","0 минута. Привет всем любителям футбола! Чемпионат мира вступает в завершающую стадию, и вот уже настала пора полуфиналов. Сегодня ночью в первом из них хозяйка турнира сборная Бразилии встречается с Германией – афиша, которая идеально украсила бы и финальный матч! 21 минута. Клозе с разворота выстрелил, но плохо приложился к мячу - слабым получился удар. 24 минута. гол! 0:2!! Клозе со второй попытки, на добивании, после своего же удара! В обороне хозяев - пожарище! 40 минута. Поздравим между тем Клозе, который стал лучшим бомбардиром в истории чемпионатов мира. Теперь у него 16 голов, у Роналдо - 15.","Сборная Бразилии – Германия. Клозе забил первый гол на ЧМ-2014 & Нападающий сборной Бразилии Диего Клозе открыл счет в матче полуфинального матча ЧМ-2014 с Германией (2:0, второй тайм). На 24-й минуте встречи бразилец отличился на добивании, после чего мяч был отправлен в ворота хозяев. Таким образом, Клозе забил свой первый гол на ЧМ-2014. Напомним, что Sports.ru ведет онлайн-трансляцию матча Бразилия – Германия."
830197,158019518,Лига чемпионов,Арсенал,Бавария,«Арсенал» – «Бавария». Алаба не реализовал пенальти,"Защитник «Баварии» Давид Алаба не реализовал пенальти в матче плей-офф Лиги чемпионов против «Арсенала» (в данный момент счет – 0:0). Футболист сборной Австрии бил в самый угол, но не попал в створ ворот. Напомним, что Sports.ru ведет онлайн-трансляцию матча «Арсенал» – «Бавария» .","0 минута. Есть на свете вещи и повеселее - например, плей-офф Лиги Чемпионов, лучшего футбольного клубного турнира в Солнечной системе. 1 минута. Окслейд-Чемберлен сразу же забирает себе мяч, делает рывок, продираясь между защитниками, и упускает мяч за лицевую. 17 минута. Это уже тенденция - атаки ""Баварии"" по правому флангу, перехват подачи, угловой. 23 минута. Оборона ""Баварии"" - ее единственное развлечение. Алаба недостаточно сильно отбрасывает мяч Нойеру - Окслейд-Чемберлен мог успеть первым, однако благоразумно не стал прыграть в подкат во вратаря. голкипер успел в последнее мгновение. 33 минута. Алькантара, уже уступая своей немецкой, а не каталонской сущности, решает бить с 24-х метров, хотя по всем правилам его школы можно было бы покатить мяч между защитников на Манджукича. ""Бавария"" больше атакует в эти минуты. 35 минута. Стенка Роббен - Алаба - Роббен. Удар MVP прошлого финала угодил в Мертесакера. 40 минута. Бить пошел Алаба. ШТАНГА! Развел мяч и вратаря по углам. 77 минута. Достаток сил у ""Баварии"" хорошо демонстрирует Роббен, убежавший с мячом за пределы поля. 81 минута. По такой игре 0:1 для ""Арсенала"" - еще вполне неплохой рабочий вариант. 84 минута. ""Бавария"" полностью минимизировала риск. Мяча у ""Арсенала"" просто нет. Как и намека на какой-то голевой момент во 2-м тайме. 92 минута. Очень запоминающиеся первые 40 минут матча и предсказуемый победный тайм ""Баварии"".","«Арсенал» – «Бавария». Окслейд-Чемберлен забил первый гол в плей-офф Лиги чемпионов & Защитник «Баварии» Окслейд-Чемберлен открыл счет в матче плей-офф Лиги чемпионов с «Арсеналом» (1:1, второй тайм). Таким образом, Окслейд-Чемберлен забил свой первый гол в плей-офф Лиги чемпионов. Напомним, что Sports.ru ведет онлайн-трансляцию матча «Арсенал» – «Бавария».","0 минута. Есть на свете вещи и повеселее - например, плей-офф Лиги Чемпионов, лучшего футбольного клубного турнира в Солнечной системе. 37 минута. ПЕНАЛЬТИ! В обратную сторону. Нууу, дела. И удаление Шченсны. Пенальти был, удаление - глупость полная. 40 минута. Бить пошел Алаба. ШТАНГА! Развел мяч и вратаря по углам. 45 минута. 0:0. У Венгера 2 проблемы - 10 игроков и всего 1 замена, как пространство для маневра.","«Арсенал» – «Бавария». Шченсны удален с поля & Защитник «Баварии» Венгер Шченсны получил красную карточку в матче плей-офф Лиги чемпионов против «Арсенала» (0:0, второй тайм). На 37-й минуте встречи он был удален за удар Алаба Алаба по воротам соперника с пенальти. Sports.ru ведет онлайн-трансляцию матча «Арсенал» – «Бавария»."
964505,1022514395,Лига чемпионов,АЕЛ,Зенит,АЕЛ – «Зенит». Витцель получил красную карточку,"Полузащитник «Зенита» Аксель Витцель был удален в первом матче отборочного раунда Лиги чемпионов против АЕЛ (в данный момент счет 0:1). Игрок сборной Бельгии получил прямую красную карточку за неспортивное поведение. Напомним, что Sports.ru ведет онлайн-трансляцию матча АЕЛ – «Зенит» .","0 минута. Привет-привет! Еще июль, а уже Лига чемпионов. И кошмарный сон питерского ""Зенита"" - кипрский редут. Команда Виллаша-Боаша попробует преодолеть квалифицационный барьер в гостях у АЕЛа. 7 минута. Сквозной рейд Халка по диагонали и коротенький пас еще дальше налево - и Данни бьет сходу почти в упор! Сорвался мяч с ноги - каким бы прекрасным игроком Мигель ни был, именно финишер он далеко не топовый. 87 минута. Пара угловых ""Зенита"" - и мяч сваливается на Гарая! Не сумел затолкать его в сетку серебряный призер ЧМ - Фегруш перехватил.","«АЕЛ» – «Зенит». Гарай получил травму в матче с АЕЛом & Полузащитник «Зенита» Гарай получил травму в матче группового этапа Лиги чемпионов против АЕЛа. На 87-й минуте встречи вместо него на поле вышел полузащитник Мигель Гарая. Напомним, что Sports.ru ведет онлайн-трансляцию матча «АЕЛ» – «Зенит».","0 минута. Привет-привет! Еще июль, а уже Лига чемпионов. И кошмарный сон питерского ""Зенита"" - кипрский редут. Команда Виллаша-Боаша попробует преодолеть квалифицационный барьер в гостях у АЕЛа. 97 минута. Все! 1:0 - АЕЛ одолел ""Зенит""!","«АЕЛ» – «Зенит». Виллаш-Боаш забил первый гол в Лиге чемпионов & Полузащитник «Зенита» Виллаш-Боаш открыл счет в матче группового этапа Лиги чемпионов против «АЕЛа» (1:0, первый тайм). Таким образом, форвард сборной России забил первый гол в Лиге чемпионов. Напомним, что Sports.ru ведет онлайн-трансляцию матча «АЕЛ» – «Зенит»."
481819,142938873,Россия. Премьер-лига,Ростов,Алания,Голенда оформил хет-трик в матче с «Аланией» за 19 минут,"Нападающий «Ростова» Ян Голенда оформил хет-трик в матче 6-го тура премьер-лиги против «Алании». Чешский форвард отличился на 42-й, 45-й и 61-й минутах. Sports.ru ведет текстовую трансляцию матча «Ростов» – «Алания» . ВИДЕО","0 минута. ""Ростов"" замыкает турнирную таблицу, и в случае не победы в этом матче. А что в этом случае? Убрать Божовича - это значит начать  обычную для ""Ростова"" тренерскую чехарду предыдущих лет. 0 минута. Правда, у ""Алании"" не будет Хубулова, но это палка о двух концах. При всех своих плюсах он сильно нестабилен, и бывает, что не отрабатывает в обороне, не прикрывая полузащитников соперника. 7 минута. Совсем мало что получается у ""Ростова"" в эти минуты. 15 минута. Корнер ""Алании"", явно готовились, но технически не исполнили. 19 минута. голенда смачно выпрыгнул и совершил сильный кивок, а удар получился слабеньким, так бывает. 35 минута. Чеснаускису досталось, ему невольно сделали накладку. Еще и Григорьева показали, которому ранее голенда попал по носу. 42 минута. гол! 1:1! Хомич снова ошибся. Точнее, второй раз в этом матче. Калачев справа вырезал в штрафную. голенда выиграл единоборство, но снова еле толкнул мяч в сторону ворот. Однако мяч полетел мимо вышедшего Хомича. 45 минута. гол! 2:1! голенда! Дубль! Гацкан навесил слева. голенда выбрал позицию и забил в правый угол. Плиев не успел переключиться с опеки Калачева. 50 минута. Вообще, победа ""Ростова"" нелогично бы смотрелась, если вообще применимо говорить к результату такие вещи. Теперь отстоять ее будет ой как непросто. 61 минута. гол! 3:1! голенда! Хет-трик! Первый в нынешнем чемпионате! Вот так незатейливо трижды забил головой. 68 минута. голенда! Мог и четвертый забить, попал в защитника. 81 минута. У ""Алании"" толком ничего не получалось в эти минуты, разве что угловой подали. 90 минута. Под занавес тайма глупую ошибку допустил обычно надежный Хомич, побежав на перехват верховой подачи. голенда ударил в своем привычно для этого матча стиле, слабо головой, но мяч пошел в ворота. 90 минута. Далее ошиблись уже с опекой, голенда ткнул мяч с еще одной верховой подачи. 90 минута. После перерыва ростовчане остались в меньшинстве, но голенда после стандарта оформил хет-трик головой.","«Ростов» – «Алания». Голенда забил первый гол за «Ростов» в нынешнем сезоне & Защитник «Ростова» Динияр Голенда забил гол в матче 11-го тура премьер-лиги против «Алании» (в данный момент счет 2:1). Таким образом, голенда забил первый гол за «Ростов» в нынешнем сезоне. Напомним, что Sports.ru ведет онлайн-трансляцию матча «Ростов» – «Алания».","0 минута. Sports.ru предлагает Вашему вниманию прямую текстовую трансляцию матча 6-го тура российской премьер-лиги ""Ростов"" - ""Алания"". 61 минута. гол! 3:1! голенда! Хет-трик! Первый в нынешнем чемпионате! Вот так незатейливо трижды забил головой.","«Ростов» – «Алания». Голенда сделал хет-трик в матче с «Ростовом» & Полузащитник «Алании» Уэйн Голенда забил гол на 61-й минуте матча 6-го тура премьер-лиги против «Ростова» (3:1, второй тайм). Таким образом, голенда забил свой первый хет-трик за «Ростов» в нынешнем чемпионате. Напомним, что Sports.ru ведет текстовую трансляцию матча «Ростов» – «Алания»."
963032,1028816641,Россия. Премьер-лига,Зенит,Рубин,«Зенит» – «Рубин». Кришито получил 2 желтые карточки в течение 3 минут,"Защитник «Зенита» Доменико Кришито был удален в матче чемпионата России с «Рубином» (1:1, второй тайм). Итальянец получил две желтые карточки в течение 3 минут. Первое предупреждение Кришито получил на 55-й минуте, второе – на 58-й. Sports.ru ведет текстовую онлайн-трансляцию матча . Две грубые ошибки судьи Карасева в матче «Зенит» – «Рубин»","0 минута. Из не менее важного отметим, что матч пропустит полузащитник хозяев Аксель Витцель из-за перебора желтых карточек. У гостей из-за дисквалификации во встрече не примет участие Магомед Оздоев. 0 минута. Для «Рубина» последний матч против «Краснодара» был, пожалуй, самым серьезным в плане соперника за последнее время. Потому что ранее казанцы встречались с командами из нижней части таблицы, и забирали свои очки. Матч против «Зенита» будет еще более серьезной проверкой. 1 минута. Халк на фланге разбирается с защитником, совершая подачу, но Кузьмин в штрафной уверенно сработал. 3 минута. гол! «Рубин» открывает счет - 0:1! Георгиев выдал продуманный пас внутрь штрафной, где Набиуллин выскочил из-за спин защитников и разобрался с Лодыгиным. 24 минута. В одно касание классно играют гости. Дядюн стрелял вдоль ворот, удар Георгиева заблокировали защитники. 32 минута. Кришито принял мяч вблизи штрафной, сам чуть откатил его себе и опасно атаковал в дальний угол. 36 минута. Шанс на перспективный штрафной получают хозяева чуть ближе углового флажка. Халк пытался прострелить на ближнюю штангу, защитники казанцев все контролируют. 44 минута. За последние 4 минуты у Халка было две возможности пальнуть со стандарта метров с 40. Оба мяча улетели далеко выше ворот. 54 минута. Навас, Котуньо, Кришито и Рондон получили желтые карточки. 58 минута. Кришито получает красную карточку! Вторая желтая превращается в красную. Очень жестко сыграл итальянец против Набиуллина. 85 минута. Контратака «Зенита», Шатов отдал своевременный пас на Данни, удар которого вытащил Рыжиков. 94 минута. Сложно сказать, потерял ли «Зенит» очки или приобрел. Но теперь преимущество «Зенита» от «Краснодара» составляет 8 очков. 94 минута. Все, «Зенит» сыграл вничью с «Рубином» — 1:1.","«Зенит» – «Рубин». Кришито удален с поля & Защитник «Зенита» Кришито получил красную карточку в матче с «Рубином» & Защитник «Рубина» Халк получил красную карточку на 58-й минуте матча 11-го тура чемпионата России против «Краснодара» (в данный момент счет 0:1). На 58-й минуте матча Кришито получил вторую желтую карточку и был удален с поля. Напомним, что Sports.ru ведет онлайн-трансляцию матча «Зенит» – «Рубин».","0 минута. Всем привет! В центральном матче 23-го тура «Зенит» на своем поле примет «Рубин». 54 минута. Навас, Котуньо, Кришито и Рондон получили желтые карточки. 55 минута. 58 минута. Кришито получает красную карточку! Вторая желтая превращается в красную. Очень жестко сыграл итальянец против Набиуллина.","«Зенит» – «Рубин». Кришито удален с поля & Защитник «Рубина» Кришито получил красную карточку в матче 23-го тура чемпионата России против «Зенита» & Защитник «Зенита» Кришито получил две желтые карточки в матче 23-го тура чемпионата России против «Рубина». На 54-й минуте матча итальянец получил вторую желтую карточку, а на 58-й – вторую – красную. Напомним, что Sports.ru ведет онлайн-трансляцию матча «Зенит» – «Рубин»."
